,Region,rooms,Area,Price,Year,elevator,status,plot,price_per_area,region_value
0,Kaukovainio,1,33.0,41500,1970,yes,good,rent,1257.5757575757575,1336.6360477158462
1,Myllytulli,1,37.5,96000,1992,yes,good,rent,2560.0,3141.0285702407214
2,Myllytulli,1,41.0,139000,2000,yes,good,own,3390.243902439024,3141.0285702407214
3,Myllyoja,1,31.0,39000,1974,no,good,rent,1258.0645161290322,1268.1674783372748
4,Myllyoja,1,32.0,37600,1974,yes,bad,rent,1175.0,1268.1674783372748
5,Koskela,1,36.0,40000,1968,no,fair,rent,1111.111111111111,1076.4021129400965
6,Keskusta,1,25.0,95000,1961,yes,good,own,3800.0,3179.3227764073595
7,Keskusta,2,25.0,195000,1961,yes,good,own,7800.0,3179.3227764073595
8,Metsokangas,1,27.5,93000,2021,yes,good,rent,3381.818181818182,2906.7292824145966
9,Keskusta,1,34.0,95500,1963,yes,good,own,2808.823529411765,3179.3227764073595
10,Etu-lyötty,1,32.0,108000,1999,yes,good,rent,3375.0,3267.6551538516082
11,Raksila,1,36.0,115000,1968,yes,good,own,3194.4444444444443,2171.2408561588295
12,Toppilansalmi,1,24.0,109000,2014,yes,good,rent,4541.666666666667,3750.2809593953384
13,Toppilansalmi,1,26.5,112000,2022,yes,good,rent,4226.415094339623,3750.2809593953384
14,Mäntylä,1,37.0,56000,1983,no,good,rent,1513.5135135135135,1833.2617836654445
15,Keskusta,1,38.0,136000,2006,yes, ,own,3578.9473684210525,3179.3227764073595
16,Hollihaka,1,37.0,67000,1946,yes,good,own,1810.8108108108108,2931.770360350811
17,Kiulukangas,1,28.5,104500,2021,no,good,rent,3666.6666666666665,3237.035285535898
18,Myllytulli,1,37.5,102000,1992,no,good,rent,2720.0,3141.0285702407214
19,Keskusta,1,25.0,90000,1955,yes,good,own,3600.0,3179.3227764073595
20,Kaukovainio,1,38.0,53000,1973,yes,good,rent,1394.7368421052631,1336.6360477158462
21,Alppila,1,31.0,110000,2015,yes,good,rent,3548.3870967741937,2675.1023673012123
22,Koskela,1,31.0,41000,1970,no, ,rent,1322.5806451612902,1076.4021129400965
23,Keskusta,1,32.0,96000,1964,yes,good,own,3000.0,3179.3227764073595
24,Myllyoja,1,29.0,47000,1973,yes,good,rent,1620.6896551724137,1268.1674783372748
25,Heinäpää,1,30.5,75000,1979,yes,good,own,2459.0163934426228,2230.320550345751
26,Puolivälinkangas,1,30.0,52500,1969,no,good,rent,1750.0,1174.308222744517
27,Oulu,1,32.0,84600,1978,yes,good,own,2643.75,3152.1868963908673
28,Myllyoja,1,29.0,42000,1973,no,good,rent,1448.2758620689656,1268.1674783372748
29,Peltola,1,35.5,61000,1955,no,good,rent,1718.3098591549297,2743.829084130451
30,Metsokangas,1,27.5,93000,2021,yes,good,rent,3381.818181818182,2906.7292824145966
31,Höyhtyä,1,29.0,50000,1962,yes,good,rent,1724.1379310344828,3065.432316834074
32,Kiulukangas,1,28.5,92900,2021,no,good,rent,3259.6491228070176,3237.035285535898
33,Koskela,1,29.0,38000,1968,no, ,rent,1310.344827586207,1076.4021129400965
34,Kiulukangas,1,28.5,102000,2021,no,good,rent,3578.9473684210525,3237.035285535898
35,Tuira,1,31.0,65000,1984,yes,good,rent,2096.7741935483873,2556.6371812766356
36,Tuira,1,27.0,136000,2019,yes,good,own,5037.037037037037,2556.6371812766356
37,Tuira,1,31.0,78169,1961,yes,good,rent,2521.5806451612902,2556.6371812766356
38,Kaukovainio,1,34.0,60000,1985,no,good,rent,1764.7058823529412,1336.6360477158462
39,Keskusta,1,31.5,126000,1998,yes,good,own,4000.0,3179.3227764073595
40,Koskenniska,1,30.0,94000,1973,yes,good,own,3133.3333333333335,3133.3333333333335
41,Tuira,1,37.0,80000,1984,yes,good,rent,2162.162162162162,2556.6371812766356
42,Nokela,1,30.5,80000,1970,no,good,rent,2622.9508196721313,1852.3093193415054
43,Kivikkokangas,1,34.5,107000,2018,no,good,rent,3101.449275362319,3111.9386570911815
44,Keskusta,1,26.0,136500,2015,yes,good,own,5250.0,3179.3227764073595
45,Keskusta,1,26.0,143500,2015,yes,good,own,5519.2307692307695,3179.3227764073595
46,Oulu,1,33.0,146850,2020,no,good,rent,4450.0,3152.1868963908673
47,Alppila,1,37.0,115000,2008,yes,good,rent,3108.108108108108,2675.1023673012123
48,Keskusta,1,29.0,142500,2016,yes,good,own,4913.793103448276,3179.3227764073595
49,Kaakkuri,1,32.5,84000,2011,yes,good,rent,2584.6153846153848,2119.9510898197573
50,Linnanmaa,1,36.5,101700,2001,no,good,own,2786.301369863014,4012.438469021417
51,Höyhtyä,1,30.0,50000,1963,yes,good,rent,1666.6666666666667,3065.432316834074
52,Tuira,1,30.0,78000,1939,no,good,rent,2600.0,2556.6371812766356
53,Linnanmaa,1,21.5,104500,2017,yes,good,own,4860.46511627907,4012.438469021417
54,Kaukovainio,1,36.0,62595,1972,yes,good,rent,1738.75,1336.6360477158462
55,Hiironen,1,39.0,76000,2001,yes,good,own,1948.7179487179487,2968.949743219198
56,Etu-lyötty,1,28.0,117500,2018,yes,good,own,4196.428571428572,3267.6551538516082
57,Höyhtyä,1,32.0,116500,2017,yes,good,rent,3640.625,3065.432316834074
58,Tuira,1,24.0,120000,2020,yes,good,rent,5000.0,2556.6371812766356
59,Tuira,1,25.5,117000,2020,yes,good,rent,4588.235294117647,2556.6371812766356
60,Alppila,1,26.0,98800,2013,yes,good,rent,3800.0,2675.1023673012123
61,Metsokangas,1,31.0,98000,2017,yes,good,rent,3161.2903225806454,2906.7292824145966
62,Heinäpää,1,27.0,50000,1977,no,good,own,1851.851851851852,2230.320550345751
63,Alppila,1,28.0,110000,2013,yes,good,rent,3928.5714285714284,2675.1023673012123
64,Intiö,1,30.5,77000,1975,yes,good,own,2524.590163934426,2198.111382272284
65,Puolivälinkangas,1,33.3,40000,1968,no,good,rent,1201.2012012012012,1174.308222744517
66,Keskusta,1,23.0,124019,2020,yes,good,rent,5392.130434782609,3179.3227764073595
67,Höyhtyä,1,31.0,127000,2016,yes,good,rent,4096.774193548387,3065.432316834074
68,Keskusta,1,27.0,66300,1959,yes,fair,own,2455.5555555555557,3179.3227764073595
69,Myllytulli,1,25.0,121500,2021,yes,good,own,4860.0,3141.0285702407214
70,Myllytulli,1,28.5,135000,2021,yes,good,own,4736.8421052631575,3141.0285702407214
71,Keskusta,1,31.0,136260,2020,yes,good,rent,4395.4838709677415,3179.3227764073595
72,Keskusta,1,31.0,143230,2020,yes,good,rent,4620.322580645161,3179.3227764073595
73,Keskusta,1,31.0,143640,2020,yes,good,rent,4633.548387096775,3179.3227764073595
74,Hiironen,1,24.0,94820,2017,yes,good,rent,3950.8333333333335,2968.949743219198
75,Toppilansalmi,1,23.0,99500,2018,yes, ,rent,4326.086956521739,3750.2809593953384
76,Toppilansalmi,1,24.0,85500,2014,yes,good,rent,3562.5,3750.2809593953384
77,Kaakkuri,1,31.5,78500,2011,no,good,rent,2492.063492063492,2119.9510898197573
78,Linnanmaa,1,21.5,99500,2017,yes,good,own,4627.906976744186,4012.438469021417
79,Toppilansalmi,1,28.5,102000,2019,yes,good,rent,3578.9473684210525,3750.2809593953384
80,Toppilansalmi,1,28.5,102000,2019,yes,good,rent,3578.9473684210525,3750.2809593953384
81,Keskusta,1,27.0,92500,1939,yes,good,own,3425.925925925926,3179.3227764073595
82,Keskusta,1,28.0,55000,1975,yes,fair,own,1964.2857142857142,3179.3227764073595
83,Kasarminranta,1,28.5,133000,2018,yes,good,own,4666.666666666667,4173.383190883192
84,Metsokangas,1,27.5,90000,2019,no,good,rent,3272.7272727272725,2906.7292824145966
85,Metsokangas,1,31.5,100000,2019,no,good,rent,3174.6031746031745,2906.7292824145966
86,Metsokangas,1,31.5,100000,2019,no,good,rent,3174.6031746031745,2906.7292824145966
87,Kivikkokangas,1,32.0,103500,2018,no,good,rent,3234.375,3111.9386570911815
